Frame,CPU Time (s),GPU Time (s)
0,1.88802,84.2331
1,1.70373,2.91325
2,4.53047,7.0678
3,2.18197,3.46966
4,4.41017,6.97051
5,4.09646,5.06524
6,2.57067,4.4613
7,3.65385,5.30933
8,3.66571,5.46794
9,3.21189,5.29209
10,1.2274,2.77264
11,3.15659,5.37424
12,3.51175,5.88166
13,1.76579,3.56654
14,3.57933,5.48923
15,3.64332,6.77315
16,3.40078,5.27235
17,3.67514,5.7912
18,3.59629,5.66187
19,3.6174,5.25111
20,5.00398,5.66772
21,3.27625,5.22716
22,3.55623,5.78934
23,3.45695,5.7507
24,3.49457,5.6868
25,3.63606,5.70068
26,5.98098,7.67304
27,3.56284,5.84159
28,3.62726,5.70389
29,3.47602,5.61843
30,3.64062,5.60654
31,3.47223,5.67891
32,3.48781,5.92099
33,3.75721,5.60059
34,1.54821,3.14117
35,3.3455,5.46616
36,3.71137,6.12947
37,3.44667,5.81693
38,3.80529,5.65322
39,3.45025,5.61847
40,3.4946,5.72572
41,3.48315,5.77872
42,3.24027,5.28698
43,3.4228,5.59107
44,3.55703,5.61201
45,3.79088,5.66102
46,3.41925,5.61575
47,3.12372,5.26961
48,3.64221,5.72316
49,3.62346,5.84266
50,3.60613,5.69888
51,3.53709,5.71496
52,3.62222,6.40913
53,3.14364,6.44651
54,3.59284,6.02979
55,3.45079,5.7615
56,1.39423,2.91299
57,5.85648,6.80277
58,3.49104,5.88192
59,3.49644,5.70023
60,3.57383,5.7171
61,3.42119,5.63212
62,3.50877,5.75817
63,3.79812,5.70846
64,3.56634,5.68283
65,3.57706,6.4672
66,3.66377,6.24608
67,3.43171,5.92122
68,3.60439,5.76924
69,3.61635,5.66904
70,3.45304,5.68087
71,3.44589,5.78096
72,3.41147,5.63057
73,3.46679,5.71795
74,3.53563,5.66819
75,3.55919,5.69002
76,3.45486,5.66632
77,3.42362,5.61278
78,3.10743,5.52875
79,3.63614,5.80333
80,3.40786,5.62189
81,3.43622,5.59674
82,3.54716,5.57597
83,3.42799,5.67887
84,3.56698,5.66397
85,3.50797,5.62113
86,3.45898,5.66666
87,3.44413,6.00696
88,3.79372,6.92067
89,3.82232,5.67029
90,1.49289,3.0764
91,3.62715,5.7154
92,3.54059,5.69946
