Frame, CPU_Time(ms), GPU_Time(ms)
0, 40, 0.233344
1, 42, 0.23152
2, 38, 0.232096
3, 38, 0.23088
4, 55, 0.225216
5, 38, 0.230336
6, 60, 0.23344
7, 38, 0.225568
8, 38, 0.225344
9, 58, 0.232128
10, 38, 0.22896
11, 57, 0.224064
12, 39, 0.232544
13, 52, 0.231456
14, 38, 0.23168
15, 39, 0.233504
16, 60, 0.226784
17, 38, 0.229248
18, 42, 0.225024
19, 39, 0.230976
20, 60, 0.225248
21, 44, 0.228672
22, 38, 0.226496
23, 42, 0.232192
24, 55, 0.223392
25, 39, 0.232576
26, 40, 0.226048
27, 38, 0.232544
28, 38, 0.231296
29, 38, 0.22592
30, 38, 0.230976
31, 38, 0.232672
32, 59, 0.2256
33, 38, 0.22432
34, 38, 0.233568
35, 38, 0.231136
36, 38, 0.23184
37, 38, 0.233472
38, 38, 0.22944
39, 38, 0.224288
40, 37, 0.22512
41, 38, 0.22944
42, 37, 0.224576
43, 37, 0.225952
44, 38, 0.230688
45, 38, 0.224992
46, 38, 0.230912
47, 38, 0.223808
48, 38, 0.231232
49, 38, 0.232576
50, 59, 0.231936
51, 37, 0.228896
52, 57, 0.232512
53, 38, 0.228832
54, 58, 0.231104
55, 38, 0.225632
56, 38, 0.233088
57, 38, 0.23104
58, 38, 0.22928
59, 39, 0.231648
60, 38, 0.230752
61, 55, 0.229792
62, 38, 0.23072
63, 38, 0.232224
64, 38, 0.230848
65, 38, 0.230528
66, 38, 0.232032
67, 61, 0.230784
68, 38, 0.224544
69, 59, 0.225248
70, 38, 0.232256
71, 38, 0.2304
72, 38, 0.228768
73, 38, 0.232
74, 57, 0.229696
75, 46, 0.231392
76, 38, 0.227168
77, 39, 0.226176
78, 38, 0.232
79, 38, 0.22992
80, 51, 0.231136
81, 38, 0.23088
82, 59, 0.227264
83, 37, 0.224864
84, 59, 0.22528
85, 38, 0.230752
86, 38, 0.225056
87, 38, 0.231584
88, 38, 0.226144
89, 38, 0.231392
90, 37, 0.226624
91, 38, 0.230112
92, 59, 0.231296
93, 38, 0.2336
94, 51, 0.232224
95, 38, 0.230976
96, 59, 0.230688
97, 37, 0.23168
98, 38, 0.231072
99, 38, 0.228224
100, 61, 0.225504
101, 37, 0.232128
102, 59, 0.233376
103, 38, 0.23168
104, 58, 0.232192
105, 37, 0.224288
106, 58, 0.22992
107, 37, 0.231648
108, 61, 0.22944
109, 38, 0.2248
110, 60, 0.225568
111, 37, 0.233408
112, 60, 0.230976
113, 37, 0.231968
114, 38, 0.224416
115, 59, 0.231488
116, 38, 0.231904
117, 38, 0.225504
118, 57, 0.231776
119, 38, 0.224416
120, 57, 0.229856
121, 37, 0.230464
122, 58, 0.225952
123, 37, 0.2312
124, 38, 0.232448
125, 38, 0.228896
126, 39, 0.230752
127, 38, 0.23216
128, 57, 0.227104
129, 38, 0.232352
130, 38, 0.232256
131, 38, 0.225952
132, 38, 0.226336
133, 38, 0.232352
134, 38, 0.224928
135, 38, 0.225568
136, 38, 0.225408
137, 38, 0.233184
138, 38, 0.228576
139, 38, 0.22544
140, 38, 0.224448
141, 40, 0.230464
142, 39, 0.225856
143, 38, 0.224768
144, 59, 0.232352
145, 38, 0.224224
146, 38, 0.225184
147, 60, 0.232064
148, 38, 0.22848
149, 38, 0.233408
150, 38, 0.230848
151, 55, 0.225504
152, 38, 0.232448
153, 38, 0.22544
154, 38, 0.227456
155, 38, 0.22704
156, 38, 0.225408
157, 60, 0.226336
158, 38, 0.224448
159, 38, 0.224224
160, 60, 0.230336
161, 38, 0.224608
162, 57, 0.230944
163, 38, 0.232064
